"";"iid";"gender.x";"order.x";"pid";"int_corr.x";"samerace.x";"age_o.x";"age.x";"field.x";"race.x";"from.x";"career.x";"sports.x";"tvsports.x";"exercise.x";"dining.x";"museums.x";"art.x";"hiking.x";"gaming.x";"clubbing.x";"reading.x";"tv.x";"theater.x";"movies.x";"concerts.x";"music.x";"shopping.x";"yoga.x";"attr.x";"sinc.x";"intel.x";"fun.x";"amb.x";"shar.x";"like.x";"prob.x";"match_es.x";"attr3_s.x";"sinc3_s.x";"intel3_s.x";"fun3_s.x";"amb3_s.x";"dec.x";"gender.y";"order.y";"int_corr.y";"samerace.y";"age_o.y";"age.y";"field.y";"race.y";"from.y";"career.y";"sports.y";"tvsports.y";"exercise.y";"dining.y";"museums.y";"art.y";"hiking.y";"gaming.y";"clubbing.y";"reading.y";"tv.y";"theater.y";"movies.y";"concerts.y";"music.y";"shopping.y";"yoga.y";"attr.y";"sinc.y";"intel.y";"fun.y";"amb.y";"shar.y";"like.y";"prob.y";"match_es.y";"attr3_s.y";"sinc3_s.y";"intel3_s.y";"fun3_s.y";"amb3_s.y";"dec.y";"match"
"1";1;0;4;11;0,14;0;27;21;"Law";4;"Chicago";"lawyer";9;2;8;9;1;1;5;1;5;6;9;1;10;10;9;8;1;6;9;7;7;6;5;7;6;4;NA;NA;NA;NA;NA;"yes";1;4;0,14;0;21;27;"Finance";2;"Argentina";"Academia, Research, Banking, Life";8;7;2;6;7;5;5;5;4;9;2;4;8;7;8;5;1;6;8;8;8;8;6;7;4;0;NA;NA;NA;NA;NA;"no";"no"
"2";1;0;3;12;0,54;0;22;21;"Law";4;"Chicago";"lawyer";9;2;8;9;1;1;5;1;5;6;9;1;10;10;9;8;1;7;8;7;8;5;6;7;5;4;NA;NA;NA;NA;NA;"yes";1;3;0,54;0;21;22;"Law";2;"England";"Corporate Lawyer";9;7;9;8;7;6;3;3;5;6;6;4;7;7;9;5;5;7;8;10;7;7;5;8;4;3;NA;NA;NA;NA;NA;"no";"no"
"3";1;0;10;13;0,16;1;22;21;"Law";4;"Chicago";"lawyer";9;2;8;9;1;1;5;1;5;6;9;1;10;10;9;8;1;5;8;9;8;5;7;7;NA;4;NA;NA;NA;NA;NA;"yes";1;10;0,16;1;21;22;"Law";4;"Southern California";"Lawyer";7;8;2;9;5;6;4;7;7;6;8;10;8;9;9;8;1;10;10;10;10;10;10;10;10;NA;NA;NA;NA;NA;NA;"yes";"yes"
"4";1;0;5;14;0,61;0;23;21;"Law";4;"Chicago";"lawyer";9;2;8;9;1;1;5;1;5;6;9;1;10;10;9;8;1;7;6;8;7;6;8;7;6;4;NA;NA;NA;NA;NA;"yes";1;5;0,61;0;21;23;"Law";2;"Cincinnati, Ohio";"Corporate attorney";10;6;8;8;3;3;10;8;8;6;7;3;10;6;8;6;1;7;8;9;8;9;8;7;7;NA;NA;NA;NA;NA;NA;"yes";"yes"
"5";1;0;7;15;0,21;0;24;21;"Law";4;"Chicago";"lawyer";9;2;8;9;1;1;5;1;5;6;9;1;10;10;9;8;1;5;6;7;7;6;6;6;6;4;NA;NA;NA;NA;NA;"yes";1;7;0,21;0;21;24;"Law";3;"Miami";"Lawyer";9;7;9;7;4;3;6;7;9;8;6;9;9;6;7;2;1;8;7;9;6;9;7;8;6;NA;NA;NA;NA;NA;NA;"yes";"yes"
"6";1;0;6;16;0,25;0;25;21;"Law";4;"Chicago";"lawyer";9;2;8;9;1;1;5;1;5;6;9;1;10;10;9;8;1;4;9;7;4;6;4;6;5;4;NA;NA;NA;NA;NA;"no";1;6;0,25;0;21;25;"Business";2;"Milan - Italy";"research/financial industry";7;2;6;7;7;7;5;5;5;8;3;7;8;7;8;6;1;7;7;8;8;7;7;7;6;3;NA;NA;NA;NA;NA;"yes";"no"
"7";1;0;1;17;0,34;0;30;21;"Law";4;"Chicago";"lawyer";9;2;8;9;1;1;5;1;5;6;9;1;10;10;9;8;1;7;6;7;4;6;7;6;5;4;NA;NA;NA;NA;NA;"yes";1;1;0,34;0;21;30;"political science";2;"Georgia, USA";"academics or journalism";8;2;9;7;7;5;4;2;6;4;2;7;9;7;7;2;2;3;6;7;5;8;7;2;1;1;NA;NA;NA;NA;NA;"no";"no"
"8";1;0;2;18;0,5;0;27;21;"Law";4;"Chicago";"lawyer";9;2;8;9;1;1;5;1;5;6;9;1;10;10;9;8;1;4;9;7;6;5;6;6;7;4;NA;NA;NA;NA;NA;"no";1;2;0,5;0;21;27;"Business";2;"New York";"Financial Services";5;5;5;9;4;3;4;4;2;6;9;3;9;3;6;2;1;6;7;5;6;8;6;7;5;2;NA;NA;NA;NA;NA;"no";"no"
"9";1;0;8;19;0,28;0;28;21;"Law";4;"Chicago";"lawyer";9;2;8;9;1;1;5;1;5;6;9;1;10;10;9;8;1;7;6;8;9;8;8;7;7;4;NA;NA;NA;NA;NA;"yes";1;8;0,28;0;21;28;"money";2;"california";"ceo";10;10;10;10;5;5;6;7;9;8;1;1;7;7;7;7;10;7;7;8;8;8;9;6,5;8;NA;NA;NA;NA;NA;NA;"yes";"yes"
"10";1;0;9;20;-0,36;0;24;21;"Law";4;"Chicago";"lawyer";9;2;8;9;1;1;5;1;5;6;9;1;10;10;9;8;1;5;6;6;8;10;8;6;6;4;NA;NA;NA;NA;NA;"yes";1;9;-0,36;0;21;24;"Finance";2;"Washington DC";"CEO";10;10;10;10;9;9;4;10;10;8;3;8;8;6;6;5;10;6;6;6;6;6;6;6;6;1;NA;NA;NA;NA;NA;"no";"no"
"11";2;0;10;11;0,29;1;27;24;"law";2;"Alabama";"law";3;2;7;10;8;6;3;5;8;10;1;9;8;7;8;3;1;5;7;8;4;6;3;6;4;3;NA;NA;NA;NA;NA;"no";1;10;0,29;1;24;27;"Finance";2;"Argentina";"Academia, Research, Banking, Life";8;7;2;6;7;5;5;5;4;9;2;4;8;7;8;5;1;8;7;6;9;7;4;7;2;0;NA;NA;NA;NA;NA;"no";"no"
"12";2;0;9;12;0,18;1;22;24;"law";2;"Alabama";"law";3;2;7;10;8;6;3;5;8;10;1;9;8;7;8;3;1;8;5;6;6;9;6;7;3;3;NA;NA;NA;NA;NA;"no";1;9;0,18;1;24;22;"Law";2;"England";"Corporate Lawyer";9;7;9;8;7;6;3;3;5;6;6;4;7;7;9;5;5;7;6;10;6;6;5;8;4;3;NA;NA;NA;NA;NA;"no";"no"
"13";2;0;6;13;0,1;0;22;24;"law";2;"Alabama";"law";3;2;7;10;8;6;3;5;8;10;1;9;8;7;8;3;1;5;8;9;6;3;4;6;7;3;NA;NA;NA;NA;NA;"no";1;6;0,1;0;24;22;"Law";4;"Southern California";"Lawyer";7;8;2;9;5;6;4;7;7;6;8;10;8;9;9;8;1;10;10;10;10;10;10;10;10;NA;NA;NA;NA;NA;NA;"yes";"no"
"14";2;0;1;14;-0,21;1;23;24;"law";2;"Alabama";"law";3;2;7;10;8;6;3;5;8;10;1;9;8;7;8;3;1;7;9;7;6;5;7;7;8;3;NA;NA;NA;NA;NA;"yes";1;1;-0,21;1;24;23;"Law";2;"Cincinnati, Ohio";"Corporate attorney";10;6;8;8;3;3;10;8;8;6;7;3;10;6;8;6;1;9;9;9;9;9;9;9;7;NA;NA;NA;NA;NA;NA;"yes";"yes"
"15";2;0;3;15;0,32;0;24;24;"law";2;"Alabama";"law";3;2;7;10;8;6;3;5;8;10;1;9;8;7;8;3;1;6;8;7;9;7;8;8;6;3;NA;NA;NA;NA;NA;"no";1;3;0,32;0;24;24;"Law";3;"Miami";"Lawyer";9;7;9;7;4;3;6;7;9;8;6;9;9;6;7;2;1;10;10;10;10;7;8;10;1;NA;NA;NA;NA;NA;NA;"yes";"no"
